"Perioden";"Regio's";"Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal)";"Vestiging in de gemeente /Immigratie (aantal)";"Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)";"Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal)"
"2002";"Aa en Hunze";1121;232;1498;119
"2003";"Aa en Hunze";1071;56;1111;153
"2004";"Aa en Hunze";1104;63;1023;54
"2005";"Aa en Hunze";1254;68;1062;81
"2006";"Aa en Hunze";1320;49;1222;104
"2007";"Aa en Hunze";1151;57;1099;93
"2008";"Aa en Hunze";1087;76;1096;25
"2009";"Aa en Hunze";984;90;1055;76
"2010";"Aa en Hunze";1095;211;990;61
"2011";"Aa en Hunze";1017;75;997;64
"2012";"Aa en Hunze";995;89;1018;174
"2013";"Aa en Hunze";980;71;1090;75
"2014";"Aa en Hunze";1050;53;1088;89
"2015";"Aa en Hunze";1308;69;1183;66
"2016";"Aa en Hunze";1374;83;1188;92
"2017";"Aa en Hunze";1592;90;1393;79
"2018";"Aa en Hunze";1414;87;1303;81
"2019";"Aa en Hunze";1411;101;1305;44
"2020";"Aa en Hunze";1465;55;1395;64
"2021";"Aa en Hunze";1439;62;1180;57
"2022";"Aa en Hunze";1194;352;1127;148
"2023";"Aa en Hunze";1331;219;1183;127
"2002";"Aalburg";300;16;295;19
"2003";"Aalburg";344;21;293;27
"2004";"Aalburg";255;29;351;22
"2005";"Aalburg";354;10;355;22
"2006";"Aalburg";391;21;396;23
"2007";"Aalburg";355;38;343;19
"2008";"Aalburg";416;32;344;22
"2009";"Aalburg";295;25;323;24
"2010";"Aalburg";330;45;351;18
"2011";"Aalburg";334;39;357;43
"2012";"Aalburg";316;48;347;49
"2013";"Aalburg";318;57;322;22
"2014";"Aalburg";374;62;376;38
"2015";"Aalburg";420;82;402;38
"2016";"Aalburg";403;58;424;41
"2017";"Aalburg";496;66;499;22
"2018";"Aalburg";529;97;507;38
"2019";"Aalburg";;;;
"2020";"Aalburg";;;;
"2021";"Aalburg";;;;
"2022";"Aalburg";;;;
"2023";"Aalburg";;;;
"2002";"Aalsmeer";716;157;753;161
"2003";"Aalsmeer";771;122;749;143
"2004";"Aalsmeer";943;163;665;96
"2005";"Aalsmeer";1395;248;741;150
"2006";"Aalsmeer";1520;211;747;199
"2007";"Aalsmeer";2020;197;801;201
"2008";"Aalsmeer";2172;249;807;166
"2009";"Aalsmeer";1685;255;725;215
"2010";"Aalsmeer";1477;301;773;200
"2011";"Aalsmeer";900;256;917;203
"2012";"Aalsmeer";944;268;898;185
"2013";"Aalsmeer";965;275;986;232
"2014";"Aalsmeer";1165;337;1063;182
"2015";"Aalsmeer";1228;373;1200;240
"2016";"Aalsmeer";1432;316;1463;228
"2017";"Aalsmeer";1488;309;1382;265
"2018";"Aalsmeer";1373;301;1185;262
"2019";"Aalsmeer";1273;353;1232;229
"2020";"Aalsmeer";1538;327;1505;220
"2021";"Aalsmeer";1385;688;1431;266
"2022";"Aalsmeer";1473;978;1289;534
"2023";"Aalsmeer";1506;1041;1344;928
"2002";"Aalten";452;162;577;65
"2003";"Aalten";576;105;534;51
"2004";"Aalten";462;48;496;122
"2005";"Aalten";764;70;725;131
"2006";"Aalten";787;100;680;211
"2007";"Aalten";654;98;743;124
"2008";"Aalten";675;122;863;109
"2009";"Aalten";605;206;747;97
"2010";"Aalten";588;175;745;147
"2011";"Aalten";638;165;797;179
"2012";"Aalten";600;61;823;83
"2013";"Aalten";566;71;630;73
"2014";"Aalten";593;86;687;86
"2015";"Aalten";694;95;682;92
"2016";"Aalten";974;288;1032;71
"2017";"Aalten";1031;140;1109;99
"2018";"Aalten";820;124;720;116
"2019";"Aalten";827;123;725;98
"2020";"Aalten";705;119;710;80
"2021";"Aalten";809;107;750;132
"2022";"Aalten";733;236;626;130
"2023";"Aalten";768;184;682;140
"2002";"Ter Aar";212;15;249;26
"2003";"Ter Aar";197;9;302;30
"2004";"Ter Aar";281;28;310;30
"2005";"Ter Aar";247;37;297;21
"2006";"Ter Aar";270;55;354;40
"2007";"Ter Aar";;;;
"2008";"Ter Aar";;;;
"2009";"Ter Aar";;;;
"2010";"Ter Aar";;;;
"2011";"Ter Aar";;;;
"2012";"Ter Aar";;;;
"2013";"Ter Aar";;;;
"2014";"Ter Aar";;;;
"2015";"Ter Aar";;;;
"2016";"Ter Aar";;;;
"2017";"Ter Aar";;;;
"2018";"Ter Aar";;;;
"2019";"Ter Aar";;;;
"2020";"Ter Aar";;;;
"2021";"Ter Aar";;;;
"2022";"Ter Aar";;;;
"2023";"Ter Aar";;;;
"2002";"Abcoude";278;45;304;34
"2003";"Abcoude";277;46;313;42
"2004";"Abcoude";298;36;356;52
"2005";"Abcoude";377;30;344;50
"2006";"Abcoude";333;64;403;62
"2007";"Abcoude";352;54;391;52
"2008";"Abcoude";314;70;376;56
"2009";"Abcoude";378;43;342;39
"2010";"Abcoude";360;61;360;74
"2011";"Abcoude";;;;
"2012";"Abcoude";;;;
"2013";"Abcoude";;;;
"2014";"Abcoude";;;;
"2015";"Abcoude";;;;
"2016";"Abcoude";;;;
"2017";"Abcoude";;;;
"2018";"Abcoude";;;;
"2019";"Abcoude";;;;
"2020";"Abcoude";;;;
"2021";"Abcoude";;;;
"2022";"Abcoude";;;;
"2023";"Abcoude";;;;
"2002";"Achtkarspelen";763;26;860;56
"2003";"Achtkarspelen";713;31;823;37
"2004";"Achtkarspelen";713;38;866;44
"2005";"Achtkarspelen";845;36;950;27
"2006";"Achtkarspelen";774;35;947;56
"2007";"Achtkarspelen";751;40;969;35
"2008";"Achtkarspelen";725;49;893;19
"2009";"Achtkarspelen";693;38;841;63
"2010";"Achtkarspelen";724;34;852;24
"2011";"Achtkarspelen";728;71;840;66
"2012";"Achtkarspelen";721;59;780;33
"2013";"Achtkarspelen";639;43;786;61
"2014";"Achtkarspelen";721;44;820;41
"2015";"Achtkarspelen";882;64;938;34
"2016";"Achtkarspelen";921;29;1023;61
"2017";"Achtkarspelen";988;34;979;43
"2018";"Achtkarspelen";962;62;1071;46
"2019";"Achtkarspelen";1039;51;1089;65
"2020";"Achtkarspelen";933;64;951;31
"2021";"Achtkarspelen";965;46;892;45
"2022";"Achtkarspelen";895;308;902;126
"2023";"Achtkarspelen";930;230;941;145
"2002";"Alblasserdam";467;37;552;34
"2003";"Alblasserdam";487;29;654;23
"2004";"Alblasserdam";522;20;622;27
"2005";"Alblasserdam";656;34;648;47
"2006";"Alblasserdam";685;22;509;38
"2007";"Alblasserdam";539;43;544;35
"2008";"Alblasserdam";630;41;640;38
"2009";"Alblasserdam";582;53;496;41
"2010";"Alblasserdam";586;54;491;46
"2011";"Alblasserdam";658;65;520;50
"2012";"Alblasserdam";635;49;511;64
"2013";"Alblasserdam";610;43;552;45
"2014";"Alblasserdam";545;73;619;63
"2015";"Alblasserdam";657;83;618;75
"2016";"Alblasserdam";684;68;712;57
"2017";"Alblasserdam";709;81;777;55
"2018";"Alblasserdam";674;84;750;52
"2019";"Alblasserdam";770;78;745;40
"2020";"Alblasserdam";764;57;820;44
"2021";"Alblasserdam";759;63;856;43
"2022";"Alblasserdam";814;325;815;96
"2023";"Alblasserdam";724;196;890;137
"2002";"Albrandswaard";999;31;747;34
"2003";"Albrandswaard";1822;21;733;78
"2004";"Albrandswaard";1653;37;779;49
"2005";"Albrandswaard";1314;30;865;100
"2006";"Albrandswaard";1245;52;885;85
"2007";"Albrandswaard";1661;77;890;39
"2008";"Albrandswaard";1362;57;978;38
"2009";"Albrandswaard";1965;69;850;44
"2010";"Albrandswaard";1297;73;907;85
"2011";"Albrandswaard";1116;75;917;67
"2012";"Albrandswaard";972;89;999;41
"2013";"Albrandswaard";908;72;1060;45
"2014";"Albrandswaard";1113;58;1142;54
"2015";"Albrandswaard";1132;82;1318;101
"2016";"Albrandswaard";1500;100;1415;116
"2017";"Albrandswaard";1439;79;1334;127
"2018";"Albrandswaard";1280;104;1268;80
"2019";"Albrandswaard";1521;97;1284;66
"2020";"Albrandswaard";1578;72;1399;48
"2021";"Albrandswaard";1427;95;1378;74
"2022";"Albrandswaard";1447;173;1173;88
"2023";"Albrandswaard";1270;110;1257;98
"2002";"Alkemade";328;43;374;61
"2003";"Alkemade";310;54;335;41
"2004";"Alkemade";276;47;366;35
"2005";"Alkemade";304;49;370;23
"2006";"Alkemade";344;27;380;41
"2007";"Alkemade";309;48;402;52
"2008";"Alkemade";469;63;439;21
"2009";"Alkemade";;;;
"2010";"Alkemade";;;;
"2011";"Alkemade";;;;
"2012";"Alkemade";;;;
"2013";"Alkemade";;;;
"2014";"Alkemade";;;;
"2015";"Alkemade";;;;
"2016";"Alkemade";;;;
"2017";"Alkemade";;;;
"2018";"Alkemade";;;;
"2019";"Alkemade";;;;
"2020";"Alkemade";;;;
"2021";"Alkemade";;;;
"2022";"Alkemade";;;;
"2023";"Alkemade";;;;
"2002";"Alkmaar";3764;601;3936;336
"2003";"Alkmaar";4000;579;3702;463
"2004";"Alkmaar";4178;504;3810;1167
"2005";"Alkmaar";4067;509;4016;777
"2006";"Alkmaar";3853;651;4298;929
"2007";"Alkmaar";3618;959;4598;650
"2008";"Alkmaar";3754;993;4822;737
"2009";"Alkmaar";3514;1048;3877;614
"2010";"Alkmaar";3446;937;4054;638
"2011";"Alkmaar";3525;813;3743;615
"2012";"Alkmaar";3781;773;3855;776
"2013";"Alkmaar";3611;790;3771;539
"2014";"Alkmaar";3742;874;4062;524
"2015";"Alkmaar";4633;1121;4812;648
"2016";"Alkmaar";5475;1106;5259;738
"2017";"Alkmaar";5327;783;5619;620
"2018";"Alkmaar";4804;831;4981;735
"2019";"Alkmaar";4964;886;4594;584
"2020";"Alkmaar";5107;734;4871;552
"2021";"Alkmaar";5362;762;4771;620
"2022";"Alkmaar";5006;1502;4730;703
"2023";"Alkmaar";5039;917;4664;730
"2002";"Almelo";2512;554;2212;340
"2003";"Almelo";2314;311;2095;311
"2004";"Almelo";2076;274;2156;399
"2005";"Almelo";2093;242;2465;357
"2006";"Almelo";2192;218;2457;248
"2007";"Almelo";2164;265;2218;292
"2008";"Almelo";2192;486;2455;327
"2009";"Almelo";1924;492;2184;298
"2010";"Almelo";1972;457;2162;439
"2011";"Almelo";2029;505;2250;302
"2012";"Almelo";2062;537;2347;378
"2013";"Almelo";1953;494;2374;409
"2014";"Almelo";1978;400;2269;364
"2015";"Almelo";2266;543;2368;366
"2016";"Almelo";2424;599;2578;348
"2017";"Almelo";2866;490;2752;367
"2018";"Almelo";2701;658;2658;429
"2019";"Almelo";2570;640;2592;366
"2020";"Almelo";2537;543;2584;345
"2021";"Almelo";2670;552;2525;473
"2022";"Almelo";2894;1145;2644;513
"2023";"Almelo";2916;878;2640;599
"2002";"Almere";9918;1675;6666;926
"2003";"Almere";10420;1307;6513;1309
"2004";"Almere";9419;1141;6745;1394
"2005";"Almere";9355;1182;7091;1767
"2006";"Almere";8752;1167;7284;2072
"2007";"Almere";8007;1142;6865;1739
"2008";"Almere";7617;1509;6998;1398
"2009";"Almere";6657;1525;6296;1229
"2010";"Almere";6745;1828;6243;1527
"2011";"Almere";6470;2098;5990;1661
"2012";"Almere";6230;1769;6168;1299
"2013";"Almere";5781;1941;6523;1789
"2014";"Almere";5972;2217;6932;1874
"2015";"Almere";6898;2206;7298;2012
"2016";"Almere";8087;2339;7411;1623
"2017";"Almere";8640;2165;7564;1511
"2018";"Almere";9095;2469;7489;1495
"2019";"Almere";9524;2685;8169;1564
"2020";"Almere";9617;2131;8941;1407
"2021";"Almere";10175;2252;9035;1675
"2022";"Almere";10678;4229;9142;2113
"2023";"Almere";10235;3457;8902;2407
"2002";"Alphen aan den Rijn";2087;439;2702;261
"2003";"Alphen aan den Rijn";1957;336;2552;419
"2004";"Alphen aan den Rijn";2009;285;2271;402
"2005";"Alphen aan den Rijn";2431;257;2218;404
"2006";"Alphen aan den Rijn";2399;284;2294;568
"2007";"Alphen aan den Rijn";2424;343;2265;383
"2008";"Alphen aan den Rijn";2313;345;2255;321
"2009";"Alphen aan den Rijn";2017;394;2106;358
"2010";"Alphen aan den Rijn";1815;396;2233;326
"2011";"Alphen aan den Rijn";1941;446;2170;418
"2012";"Alphen aan den Rijn";1852;339;2075;375
"2013";"Alphen aan den Rijn";1929;360;2061;345
"2014";"Alphen aan den Rijn";3049;593;2848;520
"2015";"Alphen aan den Rijn";3328;681;3247;470
"2016";"Alphen aan den Rijn";4060;820;3564;612
"2017";"Alphen aan den Rijn";4045;738;3717;558
"2018";"Alphen aan den Rijn";4226;1026;3460;709
"2019";"Alphen aan den Rijn";3931;987;3531;719
"2020";"Alphen aan den Rijn";4266;772;3932;575
"2021";"Alphen aan den Rijn";3971;773;4076;546
"2022";"Alphen aan den Rijn";4258;1616;3869;848
"2023";"Alphen aan den Rijn";4343;995;3863;871
"2002";"Alphen-Chaam";251;27;300;56
"2003";"Alphen-Chaam";254;34;297;52
"2004";"Alphen-Chaam";345;29;274;46
"2005";"Alphen-Chaam";312;24;355;58
"2006";"Alphen-Chaam";308;46;353;54
"2007";"Alphen-Chaam";354;37;359;76
"2008";"Alphen-Chaam";294;49;343;47
"2009";"Alphen-Chaam";280;42;293;51
"2010";"Alphen-Chaam";316;55;327;28
"2011";"Alphen-Chaam";325;44;290;30
"2012";"Alphen-Chaam";413;56;317;37
"2013";"Alphen-Chaam";435;54;369;30
"2014";"Alphen-Chaam";390;71;387;50
"2015";"Alphen-Chaam";497;55;344;50
"2016";"Alphen-Chaam";490;84;413;50
"2017";"Alphen-Chaam";495;65;473;54
"2018";"Alphen-Chaam";478;79;462;48
"2019";"Alphen-Chaam";477;71;415;77
"2020";"Alphen-Chaam";607;93;458;57
"2021";"Alphen-Chaam";497;49;428;75
"2022";"Alphen-Chaam";450;116;407;87
"2023";"Alphen-Chaam";460;111;460;107
"2002";"Altena";;;;
"2003";"Altena";;;;
"2004";"Altena";;;;
"2005";"Altena";;;;
"2006";"Altena";;;;
"2007";"Altena";;;;
"2008";"Altena";;;;
"2009";"Altena";;;;
"2010";"Altena";;;;
"2011";"Altena";;;;
"2012";"Altena";;;;
"2013";"Altena";;;;
"2014";"Altena";;;;
"2015";"Altena";;;;
"2016";"Altena";;;;
"2017";"Altena";;;;
"2018";"Altena";;;;
"2019";"Altena";1664;304;1328;179
"2020";"Altena";1787;304;1558;160
"2021";"Altena";1903;287;1476;178
"2022";"Altena";1698;679;1407;301
"2023";"Altena";1773;697;1591;372
"2002";"Ambt Montfort";390;33;387;88
"2003";"Ambt Montfort";360;42;368;54
"2004";"Ambt Montfort";318;42;413;36
"2005";"Ambt Montfort";496;32;397;42
"2006";"Ambt Montfort";334;19;394;30
"2007";"Ambt Montfort";;;;
"2008";"Ambt Montfort";;;;
"2009";"Ambt Montfort";;;;
"2010";"Ambt Montfort";;;;
"2011";"Ambt Montfort";;;;
"2012";"Ambt Montfort";;;;
"2013";"Ambt Montfort";;;;
"2014";"Ambt Montfort";;;;
"2015";"Ambt Montfort";;;;
"2016";"Ambt Montfort";;;;
"2017";"Ambt Montfort";;;;
"2018";"Ambt Montfort";;;;
"2019";"Ambt Montfort";;;;
"2020";"Ambt Montfort";;;;
"2021";"Ambt Montfort";;;;
"2022";"Ambt Montfort";;;;
"2023";"Ambt Montfort";;;;
"2002";"Ameland";157;28;172;9
"2003";"Ameland";155;7;227;5
"2004";"Ameland";155;7;153;28
"2005";"Ameland";120;16;184;12
"2006";"Ameland";133;13;161;12
"2007";"Ameland";108;21;138;14
"2008";"Ameland";154;20;169;13
"2009";"Ameland";132;27;120;13
"2010";"Ameland";137;11;146;12
"2011";"Ameland";136;13;125;12
"2012";"Ameland";120;18;132;9
"2013";"Ameland";176;16;147;17
"2014";"Ameland";143;25;164;3
"2015";"Ameland";155;29;133;41
"2016";"Ameland";185;27;159;26
"2017";"Ameland";188;38;195;14
"2018";"Ameland";201;41;181;24
"2019";"Ameland";185;70;164;55
"2020";"Ameland";200;56;176;57
"2021";"Ameland";194;77;180;79
"2022";"Ameland";179;136;166;66
"2023";"Ameland";181;90;203;58
"2002";"Amerongen";390;16;387;27
"2003";"Amerongen";369;22;360;29
"2004";"Amerongen";429;9;360;24
"2005";"Amerongen";387;12;411;28
"2006";"Amerongen";;;;
"2007";"Amerongen";;;;
"2008";"Amerongen";;;;
"2009";"Amerongen";;;;
"2010";"Amerongen";;;;
"2011";"Amerongen";;;;
"2012";"Amerongen";;;;
"2013";"Amerongen";;;;
"2014";"Amerongen";;;;
"2015";"Amerongen";;;;
"2016";"Amerongen";;;;
"2017";"Amerongen";;;;
"2018";"Amerongen";;;;
"2019";"Amerongen";;;;
"2020";"Amerongen";;;;
"2021";"Amerongen";;;;
"2022";"Amerongen";;;;
"2023";"Amerongen";;;;
"2002";"Amersfoort";5398;763;5136;639
"2003";"Amersfoort";5514;673;4838;701
"2004";"Amersfoort";5573;646;4595;701
"2005";"Amersfoort";6267;778;5118;893
"2006";"Amersfoort";6436;1006;5430;992
"2007";"Amersfoort";6011;1094;5442;715
"2008";"Amersfoort";6215;1252;5890;709
"2009";"Amersfoort";5264;1091;5210;662
"2010";"Amersfoort";5192;1173;4933;771
"2011";"Amersfoort";5395;1029;5080;734
"2012";"Amersfoort";5457;794;4946;923
"2013";"Amersfoort";5396;827;4963;814
"2014";"Amersfoort";6040;861;5278;895
"2015";"Amersfoort";6192;940;5742;942
"2016";"Amersfoort";6753;868;6729;887
"2017";"Amersfoort";6908;913;6782;849
"2018";"Amersfoort";6830;977;6684;734
"2019";"Amersfoort";6615;1090;6569;807
"2020";"Amersfoort";6617;876;7212;623
"2021";"Amersfoort";7410;873;7209;554
"2022";"Amersfoort";7492;1767;6706;820
"2023";"Amersfoort";7664;1052;7264;861
"2002";"Amstelveen";3982;1686;3539;1240
"2003";"Amstelveen";4028;1583;3491;1359
"2004";"Amstelveen";4105;1600;3820;1734
"2005";"Amstelveen";3923;1747;4069;1752
"2006";"Amstelveen";4251;2056;4317;1818
"2007";"Amstelveen";4424;2500;4524;2389
"2008";"Amstelveen";4818;2529;4412;2211
"2009";"Amstelveen";4822;2438;4003;2323
"2010";"Amstelveen";5017;2664;4019;2578
"2011";"Amstelveen";5477;2909;3982;2899
"2012";"Amstelveen";5187;2930;4250;2821
"2013";"Amstelveen";4808;3045;4244;2998
"2014";"Amstelveen";6163;3378;4713;2802
"2015";"Amstelveen";6188;3661;5218;3170
"2016";"Amstelveen";5993;3713;5796;3267
"2017";"Amstelveen";6079;4251;6322;3398
"2018";"Amstelveen";6225;4597;6356;3521
"2019";"Amstelveen";6195;4998;6915;3449
"2020";"Amstelveen";6202;3454;7157;3213
"2021";"Amstelveen";6898;4827;7570;2585
"2022";"Amstelveen";6792;7066;8450;3071
"2023";"Amstelveen";6807;5281;8088;3155
"2002";"Amsterdam";22658;13135;30627;9046
"2003";"Amsterdam";24514;11608;29501;9047
"2004";"Amsterdam";25552;11547;29595;9697
"2005";"Amsterdam";27319;11121;30565;13120
"2006";"Amsterdam";29149;12508;30365;16792
"2007";"Amsterdam";29539;14952;30784;15046
"2008";"Amsterdam";30795;18619;29950;16648
"2009";"Amsterdam";30528;18581;28772;15045
"2010";"Amsterdam";31962;19455;28493;16559
"2011";"Amsterdam";31435;20673;29578;18372
"2012";"Amsterdam";33652;20204;30135;20035
"2013";"Amsterdam";35227;20462;30700;19324
"2014";"Amsterdam";35998;23764;35494;19475
"2015";"Amsterdam";38119;26325;39411;18832
"2016";"Amsterdam";38112;29613;42212;19676
"2017";"Amsterdam";36285;34581;45157;22279
"2018";"Amsterdam";34767;38829;46606;23312
"2019";"Amsterdam";35585;42022;49351;23770
"2020";"Amsterdam";38446;30917;52250;21060
"2021";"Amsterdam";40029;37114;53277;19358
"2022";"Amsterdam";39111;49516;55040;22650
"2023";"Amsterdam";43058;45956;53262;26019
"2002";"Andijk";256;41;337;21
"2003";"Andijk";276;23;291;16
"2004";"Andijk";273;25;298;37
"2005";"Andijk";331;31;322;24
"2006";"Andijk";437;44;364;27
"2007";"Andijk";291;35;334;34
"2008";"Andijk";242;35;376;20
"2009";"Andijk";282;44;308;38
"2010";"Andijk";249;48;288;17
"2011";"Andijk";;;;
"2012";"Andijk";;;;
"2013";"Andijk";;;;
"2014";"Andijk";;;;
"2015";"Andijk";;;;
"2016";"Andijk";;;;
"2017";"Andijk";;;;
"2018";"Andijk";;;;
"2019";"Andijk";;;;
"2020";"Andijk";;;;
"2021";"Andijk";;;;
"2022";"Andijk";;;;
"2023";"Andijk";;;;
"2002";"Angerlo";234;28;210;6
"2003";"Angerlo";299;29;207;22
"2004";"Angerlo";249;15;243;18
"2005";"Angerlo";;;;
"2006";"Angerlo";;;;
"2007";"Angerlo";;;;
"2008";"Angerlo";;;;
"2009";"Angerlo";;;;
"2010";"Angerlo";;;;
"2011";"Angerlo";;;;
"2012";"Angerlo";;;;
"2013";"Angerlo";;;;
"2014";"Angerlo";;;;
"2015";"Angerlo";;;;
"2016";"Angerlo";;;;
"2017";"Angerlo";;;;
"2018";"Angerlo";;;;
"2019";"Angerlo";;;;
"2020";"Angerlo";;;;
"2021";"Angerlo";;;;
"2022";"Angerlo";;;;
"2023";"Angerlo";;;;
"2002";"Anna Paulowna";370;38;516;45
"2003";"Anna Paulowna";444;52;535;59
"2004";"Anna Paulowna";401;46;455;47
"2005";"Anna Paulowna";483;35;478;49
"2006";"Anna Paulowna";494;27;526;79
"2007";"Anna Paulowna";536;38;498;42
"2008";"Anna Paulowna";461;48;515;46
"2009";"Anna Paulowna";447;56;434;52
"2010";"Anna Paulowna";437;50;423;63
"2011";"Anna Paulowna";344;36;408;45
"2012";"Anna Paulowna";;;;
"2013";"Anna Paulowna";;;;
"2014";"Anna Paulowna";;;;
"2015";"Anna Paulowna";;;;
"2016";"Anna Paulowna";;;;
"2017";"Anna Paulowna";;;;
"2018";"Anna Paulowna";;;;
"2019";"Anna Paulowna";;;;
"2020";"Anna Paulowna";;;;
"2021";"Anna Paulowna";;;;
"2022";"Anna Paulowna";;;;
"2023";"Anna Paulowna";;;;
"2002";"Apeldoorn";4904;716;4597;467
"2003";"Apeldoorn";4607;536;4448;767
"2004";"Apeldoorn";4670;492;4550;985
"2005";"Apeldoorn";4736;490;4677;793
"2006";"Apeldoorn";4750;415;5161;789
"2007";"Apeldoorn";4639;434;5046;725
"2008";"Apeldoorn";4768;620;4662;682
"2009";"Apeldoorn";4267;618;4139;512
"2010";"Apeldoorn";4345;678;4044;653
"2011";"Apeldoorn";4480;877;4072;703
"2012";"Apeldoorn";4755;746;4426;721
"2013";"Apeldoorn";4655;734;4527;640
"2014";"Apeldoorn";5024;767;4488;808
"2015";"Apeldoorn";5107;938;4518;654
"2016";"Apeldoorn";5753;861;4818;756
"2017";"Apeldoorn";5725;1116;5002;705
"2018";"Apeldoorn";5649;1207;4857;641
"2019";"Apeldoorn";5874;1152;4717;836
"2020";"Apeldoorn";6338;997;5467;656
"2021";"Apeldoorn";5938;976;5359;657
"2022";"Apeldoorn";5837;2470;5489;920
"2023";"Apeldoorn";6007;1991;5474;1153
"2002";"Appingedam";644;82;655;27
"2003";"Appingedam";485;18;541;40
"2004";"Appingedam";555;35;575;35
"2005";"Appingedam";486;20;624;15
"2006";"Appingedam";508;26;569;56
"2007";"Appingedam";551;25;577;29
"2008";"Appingedam";565;25;589;14
"2009";"Appingedam";482;32;525;22
"2010";"Appingedam";466;90;450;6
"2011";"Appingedam";534;25;444;85
"2012";"Appingedam";516;18;493;21
"2013";"Appingedam";510;21;450;18
"2014";"Appingedam";565;35;542;70
"2015";"Appingedam";592;44;556;18
"2016";"Appingedam";665;62;644;48
"2017";"Appingedam";557;29;671;27
"2018";"Appingedam";561;40;602;24
"2019";"Appingedam";558;47;574;32
"2020";"Appingedam";568;51;681;15
"2021";"Appingedam";;;;
"2022";"Appingedam";;;;
"2023";"Appingedam";;;;
"2002";"Arcen en Velden";218;44;295;26
"2003";"Arcen en Velden";206;25;278;41
"2004";"Arcen en Velden";263;42;275;35
"2005";"Arcen en Velden";254;31;294;32
"2006";"Arcen en Velden";282;38;366;53
"2007";"Arcen en Velden";255;24;305;16
"2008";"Arcen en Velden";270;30;278;53
"2009";"Arcen en Velden";221;41;261;44
"2010";"Arcen en Velden";;;;
"2011";"Arcen en Velden";;;;
"2012";"Arcen en Velden";;;;
"2013";"Arcen en Velden";;;;
"2014";"Arcen en Velden";;;;
"2015";"Arcen en Velden";;;;
"2016";"Arcen en Velden";;;;
"2017";"Arcen en Velden";;;;
"2018";"Arcen en Velden";;;;
"2019";"Arcen en Velden";;;;
"2020";"Arcen en Velden";;;;
"2021";"Arcen en Velden";;;;
"2022";"Arcen en Velden";;;;
"2023";"Arcen en Velden";;;;
"2002";"Arnhem";7498;1374;7408;1043
"2003";"Arnhem";7232;994;7461;1021
"2004";"Arnhem";7352;988;7706;1202
"2005";"Arnhem";8421;990;7731;1355
"2006";"Arnhem";8222;1154;8052;1608
"2007";"Arnhem";8393;1360;7933;1423
"2008";"Arnhem";9072;1540;7878;1526
"2009";"Arnhem";7931;1655;7533;1439
"2010";"Arnhem";7733;1672;7712;1298
"2011";"Arnhem";7831;1485;7260;1483
"2012";"Arnhem";7678;1415;7539;1658
"2013";"Arnhem";8075;1497;7659;1520
"2014";"Arnhem";8587;1301;7565;1435
"2015";"Arnhem";8899;1594;8016;1515
"2016";"Arnhem";10314;2927;10354;1487
"2017";"Arnhem";10134;2753;10254;1465
"2018";"Arnhem";9905;3032;9881;1325
"2019";"Arnhem";9592;4768;11335;1217
"2020";"Arnhem";9757;3424;11031;1283
"2021";"Arnhem";9889;4653;12027;1350
"2022";"Arnhem";9546;6263;12405;1632
"2023";"Arnhem";9672;7138;13501;1748
"2002";"Assen";3203;386;2295;198
"2003";"Assen";2589;279;2410;365
"2004";"Assen";2800;302;2249;260
"2005";"Assen";2887;283;2457;407
"2006";"Assen";3064;326;2431;204
"2007";"Assen";3183;303;2349;247
"2008";"Assen";3137;287;2407;405
"2009";"Assen";2491;298;2294;240
"2010";"Assen";2343;283;2202;309
"2011";"Assen";2295;273;2389;301
"2012";"Assen";2331;253;2430;261
"2013";"Assen";2279;333;2473;256
"2014";"Assen";2340;308;2508;299
"2015";"Assen";2443;355;2607;265
"2016";"Assen";3258;535;3041;293
"2017";"Assen";3416;300;3273;220
"2018";"Assen";3385;377;3142;247
"2019";"Assen";3281;752;3082;227
"2020";"Assen";3434;298;3272;192
"2021";"Assen";3627;297;3441;314
"2022";"Assen";3235;941;3295;308
"2023";"Assen";3640;743;3466;480
"2002";"Asten";534;41;465;44
"2003";"Asten";432;52;475;43
"2004";"Asten";525;37;471;53
"2005";"Asten";493;25;505;44
"2006";"Asten";569;49;598;46
"2007";"Asten";428;59;488;41
"2008";"Asten";419;71;518;55
"2009";"Asten";394;68;467;68
"2010";"Asten";366;75;487;38
"2011";"Asten";457;208;512;54
"2012";"Asten";430;147;495;70
"2013";"Asten";500;147;480;124
"2014";"Asten";498;249;514;120
"2015";"Asten";487;277;568;179
"2016";"Asten";656;232;543;198
"2017";"Asten";624;201;658;159
"2018";"Asten";585;169;549;175
"2019";"Asten";530;286;597;205
"2020";"Asten";643;189;522;202
"2021";"Asten";748;215;544;168
"2022";"Asten";653;318;574;192
"2023";"Asten";603;222;531;219
"2002";"Axel";443;112;477;118
"2003";"Axel";;;;
"2004";"Axel";;;;
"2005";"Axel";;;;
"2006";"Axel";;;;
"2007";"Axel";;;;
"2008";"Axel";;;;
"2009";"Axel";;;;
"2010";"Axel";;;;
"2011";"Axel";;;;
"2012";"Axel";;;;
"2013";"Axel";;;;
"2014";"Axel";;;;
"2015";"Axel";;;;
"2016";"Axel";;;;
"2017";"Axel";;;;
"2018";"Axel";;;;
